10.2.43.239;"Atualização de Segurança para Windows XP (KB2883150)";"20131009";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2888505)";"20131113";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2892075)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2893294)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2893984)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2898715)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2898785)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2900986)";"20131113";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2904266)";"20131212";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2909210)";"20140214";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2909921)";"20140214";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2914368)";"20140116";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2916036)";"20140214";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2922229)";"20140410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2925418)";"20140313";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2929961)";"20140313";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB2930275)";"20140313";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB2934207)";"20140327";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2936068)";"20140410";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 8 (KB2964358)";"20140503";"";"1";"Microsoft Corporation"
10.2.43.239;"Windows Genuine Advantage Validation Tool (KB892130)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB898461)";"";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix for Windows XP (KB915865)";"20101125";"";"10";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB923561)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Hotfix for Windows Media Format 11 SDK (KB929399)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Security Update for CAPICOM (KB931906)";"";"";"2.1.0.2";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows Internet Explorer 7 (KB938127-v2)";"20101125";"";"2";"Microsoft Corporation"
10.2.43.239;"Hotfix para o Windows Media Player 11 (KB939683)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB941569)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB946648)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB950762)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB950974)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB951376-v2)";"20101125";"";"2";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB951748)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização para Windows XP (KB951978)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para Windows XP (KB952004)";"20101125";"";"1";"Microsoft Corporation"
10.2.43.239;"Atualização de Segurança para o Windows Media Player (KB952069)";"20101125";"";"";"Microsoft Corporation"
10.2.43.239;"Hotfix para Windows XP (KB952287)";"20101125";"";"1";"Microsoft Corporation"
