10.2.101.63;"FTDownloader";"";"";"2.1 Build 26473";"FTDownloader.com"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2840642v2)";"";"";"2";"Microsoft Corporation"
10.2.101.63;"Security Update for Microsoft .NET Framework 4.5 (KB2861208)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Professional 2012";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft ASP.NET MVC 4 Runtime";"20130215";"4.0";"4.0.20710.0";"Microsoft Corporation"
10.2.101.63;"Microsoft Application Error Reporting";"20130214";"12.0";"12.0.6012.5000";"Microsoft Corporation"
10.2.101.63;"Visualizador do Microsoft PowerPoint";"20150310";"14.0";"14.0.4763.1000";"Microsoft Corporation"
10.2.101.63;"Windows Mobile 5.0 SDK R2 for Smartphone";"20131125";"5.0";"5.00.1700.5.14343.06";"Microsoft Corporation"
10.2.101.63;"Microsoft SQL Server Database Publishing Wizard 1.2";"20131125";"1.2";"1.2.0.0";"Microsoft Corporation"
10.2.101.63;"ThinkPad Wireless LAN Adapter Software";"20130128";"";"1.00.0031.1";"REALTEK Semiconductor Corp."
10.2.101.63;"Windows Live Mail";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Windows Live Mail";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio Premium 2012";"";"";"11.0.50727.1";"Microsoft Corporation"
10.2.101.63;"Windows Live Movie Maker";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual Studio 2012 SharePoint Developer Tools";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Microsoft Visual C++ 2012 Compilers - ENU Resources";"20130215";"11.0";"11.0.50727";"Microsoft Corporation"
10.2.101.63;"Intel(R) Manageability Engine Firmware Recovery Agent";"20130128";"1.0";"1.0.0.35342";"Intel Corporation"
10.2.101.63;"Windows Live Writer";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Integrated Camera Driver Installer Package Ver.1.2.1.16";"20130125";"";"1.2.1.16";"RICOH"
10.2.101.63;"Lenovo Patch Utility";"20130128";"1.3";"1.3.0.007";"Lenovo Group Limited"
10.2.101.63;"Sophos Client Firewall";"20150731";"2.9";"2.9.5";"Sophos Limited"
10.2.101.63;"Microsoft ASP.NET Web Pages - Visual Studio 2010 Tools";"20130214";"1.0";"1.0.20105.0";"Microsoft Corporation"
10.2.101.63;"Google Update Helper";"20141113";"1.3";"1.3.25.11";"Google Inc."
10.2.101.63;"Windows Live Photo Common";"20130125";"15.4";"15.4.3502.0922";"Microsoft Corporation"
10.2.101.63;"Crystal Reports Basic for Visual Studio 2008";"20131125";"10.5";"10.5.0.0";"Business Objects"
10.2.101.63;"Microsoft Visual Studio Tools for Applications 2.0 - ENU";"20130311";"9.0";"9.0.30729";"Microsoft Corporation"
10.2.101.63;"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946040)";"";"";"1";"Microsoft Corporation"
10.2.101.63;"Hotfix for Microsoft Visual Studio 2007 Tools for Applications - ENU (KB946308)";"";"";"1";"Microsoft Corporation"
