10.2.42.119;"BRQ\alvarinodias"
10.2.42.125;"fabio.soares"
10.2.42.135;"brunomoraes"
10.2.42.153;"luiz.benedito"
10.2.42.157;"BRQ\eduardo.escobar"
10.2.42.187;"fabiosouza"
10.2.42.190;"BRQ\andersonlima"
10.2.42.195;"BRQ\adrianoranea"
10.2.42.221;"BRQ\jackelinevalentin"
10.2.42.224;"BRQ\robsoncesa"
10.2.42.228;"jsilikas"
10.2.42.241;"BRQ\bmoraes"
10.2.42.253;"BRQ\bbuenocamargo"
10.2.42.31;"BRQ\adrianoviegas"
10.2.42.32;"BRQ\mgferreira"
10.2.42.3;"BRQ\gvianni"
10.2.42.42;"marcelomartins"
10.2.42.45;"BRQ\klebersantos"
10.2.42.46;"BRQ\mfroelich"
10.2.42.49;"amartinssantos"
10.2.42.55;"jose.campos"
10.2.42.64;"BRQ\amsouza"
10.2.42.87;"BRQ\tpimentel"
10.2.42.88;"lpmonteiro"
10.2.43.101;"BRQ\fernandonascimento"
10.2.43.115;"BRQ\luisharduim"
10.2.43.119;"BRQ\vinicius.tadeu"
10.2.43.159;"hbarba"
10.2.43.170;"lmatumoto"
10.2.43.179;"BRQ\mtacaci"
10.2.43.17;"wilson.cavaleiros"
10.2.43.185;"BRQ\gallo"
10.2.43.193;"BRQ\gmichelini"
10.2.43.218;"jansonei"
10.2.43.228;"vmunarin"
10.2.43.230;"BRQ\dgenovez"
10.2.43.235;"jose.tosi"
10.2.43.239;"jgonzaga"
10.2.43.240;"rbezerra"
10.2.43.245;"jeffersonribeiro"
10.2.43.47;"BRQ\douglasralencar"
10.2.43.82;"BRQ\dmsilva"
10.2.43.99;"BRQ\dassis"
10.2.44.114;"mbiazucci"
10.2.44.158;"BRQ\fabio.soares"
10.2.44.160;"fabioalmeida"
10.2.44.170;"BRQ\carlosvaccari"
10.2.44.193;"BRQ\thonda"
10.2.44.195;"sergio.doblinski"
10.2.44.196;"pvela"
10.2.44.210;"BRQ\dassis"
10.2.44.224;"BRQ\vinicius.tadeu"
10.2.44.234;"BRQ\gallo"
10.2.44.250;"BRQ\cvieira"
10.2.44.253;"marina.kasue"
10.2.44.254;"edman.zamai"
10.2.44.54;"BRQ\sfugikava"
10.2.44.63;"elaine.cristine"
10.2.44.93;"nferreira"
10.2.45.139;"BRQ\rortolani"
10.2.45.13;"BRQ\vanessa.bonetti"
10.2.45.183;"BRQ\elisangela.escribano"
10.2.45.198;"fernando.fumio"
10.2.45.201;"BRQ\fernanda.oliveira"
10.2.45.20;"hfilier"
10.2.45.237;"BRQ\mariobruno"
10.2.45.244;"BRQ\cssouza"
10.2.45.27;"gmacorin"
10.2.45.36;"BRQ\robson.vellasques"
10.2.45.50;"BRQ\alvarinodias"
10.2.45.69;"easilva"
10.2.45.6;"BRQ\vanessa.bonetti"
10.2.45.74;"phcosta"
10.2.45.7;"BRQ\joaopugsley"
10.2.45.86;"BRQ\rogeriosoares"
10.2.52.10;"BRQ\rafaelalmeida"
